protocol,src_ip,src_port,dst_ip,dst_port,tcp_flag
TCP,52.109.8.86,443,192.168.1.207,53620,0x40
TCP,192.168.1.207,53620,52.109.8.86,443,0x40
TCP,52.109.8.86,443,192.168.1.207,53619,0x40
TCP,192.168.1.207,53619,52.109.8.86,443,0x40
TCP,192.168.1.207,53620,52.109.8.86,443,0x40
TCP,192.168.1.207,53619,52.109.8.86,443,0x40
TCP,52.109.8.86,443,192.168.1.207,53620,0x40
TCP,52.109.8.86,443,192.168.1.207,53620,0x40
TCP,52.109.8.86,443,192.168.1.207,53620,0x40
TCP,52.109.8.86,443,192.168.1.207,53620,0x40
TCP,52.109.8.86,443,192.168.1.207,53620,0x40
TCP,192.168.1.207,53620,52.109.8.86,443,0x40
TCP,52.109.8.86,443,192.168.1.207,53619,0x40
TCP,52.109.8.86,443,192.168.1.207,53619,0x40
TCP,52.109.8.86,443,192.168.1.207,53619,0x40
TCP,52.109.8.86,443,192.168.1.207,53619,0x40
TCP,52.109.8.86,443,192.168.1.207,53619,0x40
TCP,192.168.1.207,53619,52.109.8.86,443,0x40
TCP,192.168.1.207,53620,52.109.8.86,443,0x40
TCP,192.168.1.207,53619,52.109.8.86,443,0x40
TCP,52.109.8.86,443,192.168.1.207,53620,0x40
TCP,52.109.8.86,443,192.168.1.207,53619,0x40
TCP,192.168.1.207,53619,52.109.8.86,443,0x40
TCP,192.168.1.207,53620,52.109.8.86,443,0x40
TCP,52.109.8.86,443,192.168.1.207,53620,0x40
TCP,52.109.8.86,443,192.168.1.207,53619,0x40
TCP,192.168.1.207,53594,46.228.144.2,443,0x40
TCP,46.228.144.2,443,192.168.1.207,53594,0x40
TCP,192.168.1.207,53620,52.109.8.86,443,0x40
TCP,192.168.1.207,53619,52.109.8.86,443,0x40
TCP,192.168.1.207,53620,52.109.8.86,443,0x40
TCP,192.168.1.207,53619,52.109.8.86,443,0x40
TCP,192.168.1.207,52995,170.114.15.94,443,0x00
TCP,170.114.15.94,443,192.168.1.207,52995,0x40
TCP,170.114.15.94,443,192.168.1.207,52995,0x40
TCP,192.168.1.207,52995,170.114.15.94,443,0x00
TCP,192.168.1.207,53598,34.253.252.219,443,0x40
TCP,34.253.252.219,443,192.168.1.207,53598,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.156,8009,192.168.1.207,53417,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.207,60197,20.199.120.182,443,0x40
TCP,20.199.120.182,443,192.168.1.207,60197,0x40
TCP,192.168.1.207,60197,20.199.120.182,443,0x40
TCP,192.168.1.207,60194,20.199.120.182,443,0x40
TCP,20.199.120.182,443,192.168.1.207,60194,0x40
TCP,192.168.1.207,60194,20.199.120.182,443,0x40
TCP,192.168.1.207,53590,141.226.228.48,443,0x40
TCP,141.226.228.48,443,192.168.1.207,53590,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.156,8009,192.168.1.207,53417,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.207,53591,185.106.33.48,443,0x40
TCP,185.106.33.48,443,192.168.1.207,53591,0x40
TCP,192.168.1.207,53585,54.194.93.114,443,0x40
TCP,54.194.93.114,443,192.168.1.207,53585,0x40
TCP,162.247.241.14,443,192.168.1.207,52719,0x40
TCP,192.168.1.207,52719,162.247.241.14,443,0x40
UDP,192.168.1.156,5353,224.0.0.251,5353,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.156,8009,192.168.1.207,53417,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
UDP,192.168.1.156,5353,224.0.0.251,5353,0x40
TCP,159.203.145.121,443,192.168.1.207,53606,0x40
TCP,192.168.1.207,53606,159.203.145.121,443,0x40
TCP,159.203.145.121,443,192.168.1.207,53606,0x40
TCP,159.203.145.121,443,192.168.1.207,53606,0x40
TCP,192.168.1.207,53606,159.203.145.121,443,0x40
TCP,34.204.58.250,443,192.168.1.207,53608,0x40
TCP,34.204.58.250,443,192.168.1.207,53608,0x40
TCP,192.168.1.207,53608,34.204.58.250,443,0x40
TCP,192.168.1.207,53608,34.204.58.250,443,0x40
TCP,34.204.58.250,443,192.168.1.207,53608,0x40
TCP,18.198.126.47,443,192.168.1.207,53615,0x40
TCP,192.168.1.207,53615,18.198.126.47,443,0x40
TCP,18.198.126.47,443,192.168.1.207,53615,0x40
TCP,192.168.1.207,53615,18.198.126.47,443,0x40
TCP,18.198.126.47,443,192.168.1.207,53615,0x40
TCP,52.198.226.249,443,192.168.1.207,53610,0x40
TCP,52.198.226.249,443,192.168.1.207,53610,0x40
TCP,52.198.226.249,443,192.168.1.207,53610,0x40
TCP,192.168.1.207,53610,52.198.226.249,443,0x40
TCP,52.198.226.249,443,192.168.1.207,53607,0x40
TCP,52.198.226.249,443,192.168.1.207,53607,0x40
TCP,52.198.226.249,443,192.168.1.207,53607,0x40
TCP,192.168.1.207,53607,52.198.226.249,443,0x40
TCP,192.168.1.207,53607,52.198.226.249,443,0x40
TCP,44.196.105.178,443,192.168.1.207,53616,0x40
TCP,44.196.105.178,443,192.168.1.207,53616,0x40
TCP,44.196.105.178,443,192.168.1.207,53616,0x40
TCP,192.168.1.207,53616,44.196.105.178,443,0x40
TCP,192.168.1.207,53616,44.196.105.178,443,0x40
TCP,52.198.226.249,443,192.168.1.207,53607,0x40
TCP,44.196.105.178,443,192.168.1.207,53616,0x40
TCP,204.79.197.222,443,192.168.1.207,53556,0x40
TCP,13.107.51.254,443,192.168.1.207,53557,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.156,8009,192.168.1.207,53417,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
